Valuta,Codice ISO,Codice UIC,Quotazione,Convenzione di cambio,Data di riferimento (CET)
Euro,EUR,242,0.8902,Quantita' di valuta estera per 1 Dollaro,2019-12-31
Euro,EUR,242,0.8934,Quantita' di valuta estera per 1 Dollaro,2020-01-02
Euro,EUR,242,0.8971,Quantita' di valuta estera per 1 Dollaro,2020-01-03
Euro,EUR,242,0.8933,Quantita' di valuta estera per 1 Dollaro,2020-01-06
Euro,EUR,242,0.8951,Quantita' di valuta estera per 1 Dollaro,2020-01-07
Euro,EUR,242,0.8997,Quantita' di valuta estera per 1 Dollaro,2020-01-08
Euro,EUR,242,0.9001,Quantita' di valuta estera per 1 Dollaro,2020-01-09
Euro,EUR,242,0.9016,Quantita' di valuta estera per 1 Dollaro,2020-01-10
Euro,EUR,242,0.8988,Quantita' di valuta estera per 1 Dollaro,2020-01-13
Euro,EUR,242,0.8997,Quantita' di valuta estera per 1 Dollaro,2020-01-14
Euro,EUR,242,0.8975,Quantita' di valuta estera per 1 Dollaro,2020-01-15
Euro,EUR,242,0.8953,Quantita' di valuta estera per 1 Dollaro,2020-01-16
Euro,EUR,242,0.9003,Quantita' di valuta estera per 1 Dollaro,2020-01-17
Euro,EUR,242,0.9021,Quantita' di valuta estera per 1 Dollaro,2020-01-20
Euro,EUR,242,0.8997,Quantita' di valuta estera per 1 Dollaro,2020-01-21
Euro,EUR,242,0.9019,Quantita' di valuta estera per 1 Dollaro,2020-01-22
Euro,EUR,242,0.9016,Quantita' di valuta estera per 1 Dollaro,2020-01-23
Euro,EUR,242,0.9062,Quantita' di valuta estera per 1 Dollaro,2020-01-24
Euro,EUR,242,0.9070,Quantita' di valuta estera per 1 Dollaro,2020-01-27
Euro,EUR,242,0.9087,Quantita' di valuta estera per 1 Dollaro,2020-01-28
Euro,EUR,242,0.9090,Quantita' di valuta estera per 1 Dollaro,2020-01-29
Euro,EUR,242,0.9067,Quantita' di valuta estera per 1 Dollaro,2020-01-30
Euro,EUR,242,0.9048,Quantita' di valuta estera per 1 Dollaro,2020-01-31
Euro,EUR,242,0.9037,Quantita' di valuta estera per 1 Dollaro,2020-02-03
Euro,EUR,242,0.9051,Quantita' di valuta estera per 1 Dollaro,2020-02-04
Euro,EUR,242,0.9072,Quantita' di valuta estera per 1 Dollaro,2020-02-05
Euro,EUR,242,0.9088,Quantita' di valuta estera per 1 Dollaro,2020-02-06
Euro,EUR,242,0.9117,Quantita' di valuta estera per 1 Dollaro,2020-02-07
Euro,EUR,242,0.9132,Quantita' di valuta estera per 1 Dollaro,2020-02-10
Euro,EUR,242,0.9173,Quantita' di valuta estera per 1 Dollaro,2020-02-11
Euro,EUR,242,0.9163,Quantita' di valuta estera per 1 Dollaro,2020-02-12
Euro,EUR,242,0.9202,Quantita' di valuta estera per 1 Dollaro,2020-02-13
Euro,EUR,242,0.9223,Quantita' di valuta estera per 1 Dollaro,2020-02-14
Euro,EUR,242,0.9229,Quantita' di valuta estera per 1 Dollaro,2020-02-17
Euro,EUR,242,0.9246,Quantita' di valuta estera per 1 Dollaro,2020-02-18
Euro,EUR,242,0.9259,Quantita' di valuta estera per 1 Dollaro,2020-02-19
Euro,EUR,242,0.9268,Quantita' di valuta estera per 1 Dollaro,2020-02-20
Euro,EUR,242,0.9258,Quantita' di valuta estera per 1 Dollaro,2020-02-21
Euro,EUR,242,0.9244,Quantita' di valuta estera per 1 Dollaro,2020-02-24
Euro,EUR,242,0.9225,Quantita' di valuta estera per 1 Dollaro,2020-02-25
Euro,EUR,242,0.9195,Quantita' di valuta estera per 1 Dollaro,2020-02-26
Euro,EUR,242,0.9121,Quantita' di valuta estera per 1 Dollaro,2020-02-27
Euro,EUR,242,0.9110,Quantita' di valuta estera per 1 Dollaro,2020-02-28
